Ticker,Company Name,Sector,Industry,Fiscal_Year,Report Date,Revenue,COGS,SGA,Operating_Income,Net_Income,Total Assets,COGS_ratio,SGA_ratio,Operating_margin,Net_margin,Log_Assets
BIRD,"Allbirds, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-12-31,277472000.0,-130810000.0,-179538000.0,-32876000.0,-45370000,488429000.0,0.4714349555991235,0.6470490716180372,-0.11848402721716066,-0.1635119940029985,20.006704675997423
BIRD,"Allbirds, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2022,2022-12-31,297766000.0,-168138000.0,-225845000.0,-96217000.0,-101354000,462364000.0,0.5646648710732589,0.7584647004694962,-0.32312957154275507,-0.3403813732931228,19.95186301762033
BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Retail - Defensive,2020,2021-01-31,15430017000.0,-12451061000.0,-2326755000.0,642392000.0,421030000,5411530000.0,0.806937607392137,0.15079406587821648,0.04163261777352546,0.027286424895060064,22.41179769943353
BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Retail - Defensive,2021,2022-01-31,16667302000.0,-13588612000.0,-2446465000.0,617323000.0,426652000,5668894000.0,0.8152856413113532,0.14678230465854641,0.03703796811265554,0.025598144198743143,22.458259873930665
BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Retail - Defensive,2022,2023-01-31,19315165000.0,-15883677000.0,-2668569000.0,737986000.0,513177000,6349956000.0,0.8223422890770025,0.13815926501275033,0.0382075949131162,0.02656860554905951,22.571713720693147
BKE,BUCKLE INC,Consumer Cyclical,Retail - Apparel & Specialty,2020,2021-01-31,901278000.0,-500610000.0,-232646000.0,168022000.0,130139000,845814000.0,0.5554446019984954,0.25812901235800717,0.18642638564349734,0.14439384962242505,20.55581003524212
BKE,BUCKLE INC,Consumer Cyclical,Retail - Apparel & Specialty,2021,2022-01-31,1294607000.0,-641598000.0,-317510000.0,335499000.0,254820000,780884000.0,0.4955928710411731,0.24525589619089036,0.2591512327679365,0.19683193432447066,20.475937169243846
BKE,BUCKLE INC,Consumer Cyclical,Retail - Apparel & Specialty,2022,2023-01-31,1345187000.0,-669184000.0,-347871000.0,328132000.0,254626000,837579000.0,0.49746540815514867,0.258604194063725,0.24393039778112635,0.1892866939689426,20.546026145573066
BKE,BUCKLE INC,Consumer Cyclical,Retail - Apparel & Specialty,2023,2024-01-31,1261102000.0,-642037000.0,-348006000.0,271059000.0,219919000,889810000.0,0.509107907211312,0.275953887948794,0.214938204839894,0.1743863700160653,20.60651851475362
BKE,BUCKLE INC,Consumer Cyclical,Retail - Apparel & Specialty,2024,2025-01-31,1217689000.0,-624902000.0,-351423000.0,241364000.0,195468000,913173000.0,0.5131868646263537,0.2885983202607562,0.19821481511289007,0.16052374621106047,20.632435905822767
BNED,"Barnes & Noble Education, Inc.",Consumer Cyclical,Retail - Apparel & Specialty,2021,2021-04-30,1406516000.0,-1176173000.0,-316164000.0,-131025000.0,-139810000,1031113000.0,0.8362315110528427,0.2247852139613058,-0.09315571241279871,-0.09940164207161525,20.753904638303176
